goos: linux
goarch: amd64
pkg: github.com/getsyntegrity/go-specs/specs
cpu: 13th Gen Intel(R) Core(TM) i7-13620H
BenchmarkFalseSharing_Chunk1_Baseline      	   37539	     72321 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   38433	     67111 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   36272	     67726 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   32746	     78363 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   31456	     74735 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   32701	     63592 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   37462	     64012 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   33177	     69463 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   33430	     71041 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   25196	    107754 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   30327	     75473 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   31016	     73200 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   27121	     88419 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   27754	     93475 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   27369	     91371 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   26274	     76943 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   29673	     75601 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   27874	     89873 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   27544	     95198 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline      	   25591	     79156 ns/op	   98512 B/op	       8 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   22389	    105073 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   22066	    107263 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   19118	    112094 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   21879	    119142 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   23727	    123788 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   25150	     89535 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   27458	     94521 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   25440	     96883 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   23259	    100165 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   19579	    103314 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   25413	     97604 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   24735	     98442 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   25886	     97862 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   23331	     96404 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   24884	     98427 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   24686	     98824 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   23716	     98191 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   23968	     97125 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   24391	    100294 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-2    	   25874	     87867 ns/op	   98681 B/op	      11 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   30027	     89497 ns/op	   99020 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   26521	     79370 ns/op	   99020 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   29510	     83630 ns/op	   99020 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   27373	     94297 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   23970	     92172 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   26667	    107382 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   24214	    116813 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   19948	    103741 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   25650	    104194 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   24894	    101397 ns/op	   99020 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   24582	    124209 ns/op	   99022 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   24939	     99359 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   23859	     95978 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   25614	     97229 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   24951	     96873 ns/op	   99020 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   26362	     95781 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   23331	     95432 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   22555	    103792 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   29578	     85023 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-4    	   27316	     88146 ns/op	   99021 B/op	      17 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   20761	    106482 ns/op	   99695 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   24698	     96479 ns/op	   99696 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   21607	    110438 ns/op	   99696 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   20193	    111833 ns/op	   99697 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   22315	    103945 ns/op	   99697 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   25275	    110249 ns/op	   99696 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   22228	    104992 ns/op	   99696 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   24204	    100183 ns/op	   99698 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   23558	     99451 ns/op	   99697 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   23602	    103801 ns/op	   99698 B/op	      29 allocs/op
BenchmarkFalseSharing_Chunk1_Baseline-8    	   23229	    100385 ns/op	   99696 B/op	      29 allocs/op
